,Cycle number,Profile number,Phase number,1st sample date,Pressure (dbar),Channel 1 a (Count),Channel 2 (Count)
174,1,0,5,2021-11-16 14:21:35,5.8,1250.0,4130.0
175,1,0,5,2021-11-16 14:21:35,5.8,1250.0,4130.0
176,1,0,5,2021-11-16 14:21:35,5.8,1249.0,4130.0
177,1,0,5,2021-11-16 14:21:35,5.8,1250.0,4130.0
178,1,0,5,2021-11-16 14:21:35,5.8,1250.0,4130.0
179,1,0,5,2021-11-16 14:21:35,5.8,1249.0,4130.0
180,1,0,5,2021-11-16 14:21:35,5.8,1250.0,4130.0
181,1,0,5,2021-11-16 14:21:35,5.8,1250.0,4130.0
182,1,0,5,2021-11-16 14:21:35,5.8,1249.0,4130.0
183,1,0,5,2021-11-16 14:21:35,5.8,1249.0,4130.0
184,1,0,5,2021-11-16 14:21:35,5.8,1249.0,4130.0
185,1,0,5,2021-11-16 14:21:35,5.8,1249.0,4130.0
186,1,0,5,2021-11-16 14:21:35,5.8,1249.0,4130.0
187,1,0,5,2021-11-16 14:21:35,5.8,1250.0,4130.0
188,1,0,5,2021-11-16 14:21:35,5.8,1249.0,4130.0
189,1,0,5,2021-11-16 14:21:35,5.8,1249.0,4130.0
190,1,0,5,2021-11-16 14:22:23,5.8,1249.0,4130.0
191,1,0,5,2021-11-16 14:22:23,5.8,1249.0,4130.0
192,1,0,5,2021-11-16 14:22:23,5.8,1249.0,4130.0
193,1,0,5,2021-11-16 14:22:23,5.8,1249.0,4130.0
194,1,0,5,2021-11-16 14:22:23,5.8,1248.0,4130.0
195,1,0,5,2021-11-16 14:22:23,5.8,1249.0,4130.0
196,1,0,5,2021-11-16 14:22:23,5.8,1248.0,4130.0
197,1,0,5,2021-11-16 14:22:23,5.8,1248.0,4130.0
198,1,0,5,2021-11-16 14:22:23,5.8,1248.0,4130.0
199,1,0,5,2021-11-16 14:22:23,5.8,1248.0,4130.0
200,1,0,5,2021-11-16 14:22:23,5.8,1249.0,4130.0
201,1,0,5,2021-11-16 14:22:23,5.8,1248.0,4130.0
202,1,0,5,2021-11-16 14:22:23,5.8,1249.0,4130.0
203,1,0,5,2021-11-16 14:22:23,5.8,1247.0,4130.0
