,Cycle number,Profile number,Phase number,1st sample date,Pressure (dbar),Temperature (°C),Salinity (PSU)
191,1,0,9,2022-06-24 19:35:27,29.1,4.57,30.783
192,1,0,9,2022-06-24 19:35:27,27.0,4.922,30.729
193,1,0,9,2022-06-24 19:35:27,25.0,5.224,30.694
194,1,0,9,2022-06-24 19:35:27,23.0,5.731,30.606
195,1,0,9,2022-06-24 19:35:27,21.1,6.104,30.549
196,1,0,9,2022-06-24 19:35:27,19.1,6.52,30.479
197,1,0,9,2022-06-24 19:35:27,17.1,6.974,30.384
198,1,0,9,2022-06-24 19:35:27,15.0,7.801,30.214
199,1,0,9,2022-06-24 19:35:27,12.9,8.468,30.084
200,1,0,9,2022-06-24 19:35:27,11.1,9.412,29.872
201,1,0,9,2022-06-24 19:35:27,9.5,10.207,29.704
202,1,0,9,2022-06-24 19:35:27,8.4,10.971,29.558
203,1,0,9,2022-06-24 19:35:27,7.5,11.493,29.466
204,1,0,9,2022-06-24 19:35:27,6.5,12.306,29.337
205,1,0,9,2022-06-24 19:35:27,5.5,13.028,29.245
206,1,0,9,2022-06-24 19:35:27,4.4,13.364,29.102
207,1,0,9,2022-06-24 19:35:27,3.6,13.517,28.865
208,1,0,9,2022-06-24 19:35:27,2.6,13.738,28.677
209,1,0,9,2022-06-24 19:35:27,1.5,13.958,28.529
210,1,0,9,2022-06-24 19:35:27,0.4,14.96,27.822
231,1,1,5,2022-06-24 22:18:19,0.5,16.971,24.524
232,1,1,9,2022-06-25 01:04:24,1.5,16.918,28.648
233,1,1,9,2022-06-25 01:04:24,2.4,16.871,28.989
234,1,1,9,2022-06-25 01:04:24,3.4,16.42,29.325
235,1,1,9,2022-06-25 01:04:24,4.4,15.38,30.084
236,1,1,9,2022-06-25 01:04:24,5.4,14.566,30.677
237,1,1,9,2022-06-25 01:04:24,6.3,14.19,30.924
238,1,1,9,2022-06-25 01:04:24,7.4,14.029,30.988
239,1,1,9,2022-06-25 01:04:24,8.5,13.679,31.191
240,1,1,9,2022-06-25 01:04:24,9.4,13.02,31.654
241,1,1,9,2022-06-25 01:04:24,10.2,12.673,31.877
252,1,1,9,2022-06-25 01:04:24,32.5,4.105,30.848
253,1,1,9,2022-06-25 01:36:07,31.0,4.193,30.832
254,1,1,9,2022-06-25 01:36:07,29.0,4.325,30.811
255,1,1,9,2022-06-25 01:36:07,27.0,4.493,30.79
256,1,1,9,2022-06-25 01:36:07,25.0,4.692,30.761
257,1,1,9,2022-06-25 01:36:07,22.9,5.087,30.712
258,1,1,9,2022-06-25 01:36:07,21.0,5.753,30.59
259,1,1,9,2022-06-25 01:36:07,19.0,6.406,30.48
260,1,1,9,2022-06-25 01:36:07,17.0,6.72,30.426
261,1,1,9,2022-06-25 01:36:07,15.0,7.233,30.331
262,1,1,9,2022-06-25 01:36:07,13.1,8.282,30.124
263,1,1,9,2022-06-25 01:36:07,11.0,9.216,29.926
264,1,1,9,2022-06-25 01:36:07,9.5,10.103,29.759
265,1,1,9,2022-06-25 01:36:07,8.4,11.047,29.544
266,1,1,9,2022-06-25 01:36:07,7.4,11.626,29.468
267,1,1,9,2022-06-25 01:36:07,6.6,12.627,29.235
268,1,1,9,2022-06-25 01:36:07,5.5,13.816,28.843
269,1,1,9,2022-06-25 01:36:07,4.5,15.314,27.825
270,1,1,9,2022-06-25 01:36:07,3.5,15.973,28.009
271,1,1,9,2022-06-25 01:36:07,2.6,16.309,27.851
272,1,1,9,2022-06-25 01:36:07,1.5,17.171,27.355
273,1,1,9,2022-06-25 01:36:07,0.4,17.373,27.314
295,1,2,9,2022-06-25 07:03:26,0.5,17.901,24.633
296,1,2,9,2022-06-25 07:03:26,1.5,17.797,27.853
297,1,2,9,2022-06-25 07:03:26,2.5,17.435,27.782
298,1,2,9,2022-06-25 07:03:26,3.5,16.096,28.505
299,1,2,9,2022-06-25 07:03:26,4.5,14.383,29.302
300,1,2,9,2022-06-25 07:03:26,5.6,13.531,29.69
301,1,2,9,2022-06-25 07:03:26,6.5,12.649,30.0
302,1,2,9,2022-06-25 07:03:26,7.4,11.823,30.051
303,1,2,9,2022-06-25 07:03:26,8.4,11.514,30.018
304,1,2,9,2022-06-25 07:03:26,9.4,11.295,30.015
305,1,2,9,2022-06-25 07:03:26,10.2,11.079,30.073
315,1,2,9,2022-06-25 07:03:26,32.4,4.536,30.79
316,1,2,9,2022-06-25 07:30:22,30.9,4.643,30.773
317,1,2,9,2022-06-25 07:30:22,29.0,4.794,30.754
318,1,2,9,2022-06-25 07:30:22,27.0,4.942,30.742
319,1,2,9,2022-06-25 07:30:22,25.1,5.367,30.671
320,1,2,9,2022-06-25 07:30:22,23.1,5.535,30.649
321,1,2,9,2022-06-25 07:30:22,21.0,5.97,30.557
322,1,2,9,2022-06-25 07:30:22,19.0,6.39,30.482
323,1,2,9,2022-06-25 07:30:22,17.0,6.732,30.423
324,1,2,9,2022-06-25 07:30:22,15.1,7.746,30.225
325,1,2,9,2022-06-25 07:30:22,12.9,8.81,30.011
326,1,2,9,2022-06-25 07:30:22,10.9,9.362,29.898
327,1,2,9,2022-06-25 07:30:22,9.6,9.942,29.767
328,1,2,9,2022-06-25 07:30:22,8.5,11.14,29.542
329,1,2,9,2022-06-25 07:30:22,7.5,11.62,29.45
330,1,2,9,2022-06-25 07:30:22,6.5,12.47,29.295
331,1,2,9,2022-06-25 07:30:22,5.6,13.214,29.141
332,1,2,9,2022-06-25 07:30:22,4.5,13.706,28.982
333,1,2,9,2022-06-25 07:30:22,3.5,14.211,28.563
334,1,2,9,2022-06-25 07:30:22,2.4,16.091,27.252
335,1,2,9,2022-06-25 07:30:22,1.5,17.128,26.968
336,1,2,9,2022-06-25 07:30:22,0.5,17.596,27.228
358,1,3,9,2022-06-25 18:59:22,0.5,17.756,24.821
359,1,3,9,2022-06-25 18:59:22,1.5,17.617,27.646
360,1,3,9,2022-06-25 18:59:22,2.5,16.939,27.824
361,1,3,9,2022-06-25 18:59:22,3.5,16.098,28.095
362,1,3,9,2022-06-25 18:59:22,4.5,14.899,28.568
363,1,3,9,2022-06-25 18:59:22,5.5,13.792,28.869
364,1,3,9,2022-06-25 18:59:22,6.5,13.438,29.064
365,1,3,9,2022-06-25 18:59:22,7.5,12.915,29.4
366,1,3,9,2022-06-25 18:59:22,8.5,12.351,29.768
367,1,3,9,2022-06-25 18:59:22,9.5,11.921,30.028
368,1,3,9,2022-06-25 18:59:22,10.0,11.651,30.172
378,1,3,9,2022-06-25 18:59:22,32.5,4.228,30.836
379,1,3,9,2022-06-25 19:20:17,31.0,4.616,30.772
380,1,3,9,2022-06-25 19:20:17,28.9,4.759,30.759
381,1,3,9,2022-06-25 19:20:17,27.0,5.185,30.7
382,1,3,9,2022-06-25 19:20:17,24.9,5.46,30.661
383,1,3,9,2022-06-25 19:20:17,22.9,5.77,30.601
384,1,3,9,2022-06-25 19:20:17,21.0,6.097,30.54
385,1,3,9,2022-06-25 19:20:17,19.0,6.538,30.463
386,1,3,9,2022-06-25 19:20:17,17.0,6.789,30.421
387,1,3,9,2022-06-25 19:20:17,15.0,7.847,30.207
388,1,3,9,2022-06-25 19:20:17,13.0,9.007,29.953
389,1,3,9,2022-06-25 19:20:17,11.0,9.689,29.822
390,1,3,9,2022-06-25 19:20:17,9.5,10.636,29.602
391,1,3,9,2022-06-25 19:20:17,8.5,11.397,29.529
392,1,3,9,2022-06-25 19:20:17,7.5,11.928,29.433
393,1,3,9,2022-06-25 19:20:17,6.6,12.352,29.348
394,1,3,9,2022-06-25 19:20:17,5.6,12.81,29.245
395,1,3,9,2022-06-25 19:20:17,4.5,13.419,29.051
396,1,3,9,2022-06-25 19:20:17,3.5,14.029,28.509
397,1,3,9,2022-06-25 19:20:17,2.4,14.877,27.845
398,1,3,9,2022-06-25 19:20:17,1.5,15.85,27.187
399,1,3,9,2022-06-25 19:20:17,0.5,17.974,26.379
420,1,4,5,2022-06-25 22:10:31,0.5,19.984,23.518
421,1,4,9,2022-06-26 07:02:14,1.5,17.408,27.585
422,1,4,9,2022-06-26 07:02:14,2.5,15.119,28.583
423,1,4,9,2022-06-26 07:02:14,3.5,14.223,28.947
424,1,4,9,2022-06-26 07:02:14,4.5,13.884,29.167
425,1,4,9,2022-06-26 07:02:14,5.5,13.512,29.45
426,1,4,9,2022-06-26 07:02:14,6.5,13.228,29.596
427,1,4,9,2022-06-26 07:02:14,7.5,13.134,29.685
428,1,4,9,2022-06-26 07:02:14,8.4,12.929,29.827
429,1,4,9,2022-06-26 07:02:14,9.5,12.684,30.013
430,1,4,9,2022-06-26 07:02:14,10.1,12.653,30.048
441,1,4,9,2022-06-26 07:02:14,32.5,4.105,30.851
442,1,4,9,2022-06-26 07:25:45,31.1,4.288,30.823
443,1,4,9,2022-06-26 07:25:45,29.0,4.548,30.779
444,1,4,9,2022-06-26 07:25:45,26.9,4.755,30.754
445,1,4,9,2022-06-26 07:25:45,25.1,5.055,30.715
446,1,4,9,2022-06-26 07:25:45,23.1,5.273,30.686
447,1,4,9,2022-06-26 07:25:45,21.0,5.656,30.621
448,1,4,9,2022-06-26 07:25:45,18.9,6.274,30.508
449,1,4,9,2022-06-26 07:25:45,16.9,6.978,30.37
450,1,4,9,2022-06-26 07:25:45,15.1,7.859,30.197
451,1,4,9,2022-06-26 07:25:45,13.1,9.065,29.947
452,1,4,9,2022-06-26 07:25:45,11.1,9.962,29.784
453,1,4,9,2022-06-26 07:25:45,9.5,11.02,29.578
454,1,4,9,2022-06-26 07:25:45,8.4,11.468,29.487
455,1,4,9,2022-06-26 07:25:45,7.5,11.764,29.434
456,1,4,9,2022-06-26 07:25:45,6.5,12.073,29.365
457,1,4,9,2022-06-26 07:25:45,5.5,12.473,29.338
458,1,4,9,2022-06-26 07:25:45,4.5,13.239,29.032
459,1,4,9,2022-06-26 07:25:45,3.5,13.978,28.612
460,1,4,9,2022-06-26 07:25:45,2.5,15.416,28.626
461,1,4,9,2022-06-26 07:25:45,1.5,16.538,28.008
462,1,4,9,2022-06-26 07:25:45,0.5,17.569,27.861
484,1,5,9,2022-06-26 18:59:18,0.5,18.642,25.959
485,1,5,9,2022-06-26 18:59:18,1.6,17.137,27.263
486,1,5,9,2022-06-26 18:59:18,2.5,15.32,28.234
487,1,5,9,2022-06-26 18:59:18,3.5,14.42,28.784
488,1,5,9,2022-06-26 18:59:18,4.5,14.059,29.003
489,1,5,9,2022-06-26 18:59:18,5.5,13.848,29.123
490,1,5,9,2022-06-26 18:59:18,6.5,13.67,29.198
491,1,5,9,2022-06-26 18:59:18,7.5,13.526,29.241
492,1,5,9,2022-06-26 18:59:18,8.5,13.438,29.293
493,1,5,9,2022-06-26 18:59:18,9.5,13.12,29.566
494,1,5,9,2022-06-26 18:59:18,10.0,12.368,30.109
504,1,5,9,2022-06-26 18:59:18,32.4,3.997,30.867
505,1,5,9,2022-06-26 19:19:49,31.1,4.028,30.862
506,1,5,9,2022-06-26 19:19:49,29.1,4.124,30.845
507,1,5,9,2022-06-26 19:19:49,27.0,4.311,30.82
508,1,5,9,2022-06-26 19:19:49,25.0,4.921,30.731
509,1,5,9,2022-06-26 19:19:49,22.9,5.375,30.666
510,1,5,9,2022-06-26 19:19:49,21.0,5.65,30.623
511,1,5,9,2022-06-26 19:19:49,19.0,6.302,30.504
512,1,5,9,2022-06-26 19:19:49,17.0,7.022,30.373
513,1,5,9,2022-06-26 19:19:49,15.0,8.071,30.15
514,1,5,9,2022-06-26 19:19:49,12.9,8.9,29.992
515,1,5,9,2022-06-26 19:19:49,11.0,9.598,29.847
516,1,5,9,2022-06-26 19:19:49,9.5,10.337,29.713
517,1,5,9,2022-06-26 19:19:49,8.5,11.646,29.55
518,1,5,9,2022-06-26 19:19:49,7.5,12.306,29.428
519,1,5,9,2022-06-26 19:19:49,6.5,12.614,29.372
520,1,5,9,2022-06-26 19:19:49,5.5,12.897,29.31
521,1,5,9,2022-06-26 19:19:49,4.5,13.47,28.912
522,1,5,9,2022-06-26 19:19:49,3.6,14.337,28.362
523,1,5,9,2022-06-26 19:19:49,2.5,15.065,27.912
524,1,5,9,2022-06-26 19:19:49,1.5,16.747,26.93
525,1,5,9,2022-06-26 19:19:49,0.5,18.663,26.454
