COUNTRY,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,LAST LOCATION DATE,MODEL,NETWORKS,PROGRAM,REF,SERIAL NUMBER,STATUS
Canada,2020-08-08T09:00:00,59.4963,-53.0972,2021-04-07T04:53:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902513,AI2600-20CA001,OPERATIONAL
Canada,2020-10-10T17:18:00,42.3853,-61.2839,2021-03-31T04:46:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902523,AI2600-20CA011,OPERATIONAL
Canada,2020-10-10T22:36:00,42.7485,-59.9938,2021-03-31T04:34:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902524,AI2600-20CA012,OPERATIONAL
Canada,2020-11-20T04:52:00,41.6998,-48.9473,2021-04-01T04:26:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902526,AI2600-20CA014,OPERATIONAL
Canada,2020-11-22T04:46:00,46.9999,-42.4908,2021-04-03T04:46:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902527,AI2600-20CA015,OPERATIONAL
Canada,2020-11-21T23:53:00,47.0009,-41.999,2021-04-03T04:36:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902528,AI2600-20CA016,OPERATIONAL
Canada,2020-11-20T09:40:00,41.3327,-48.6704,2021-04-01T04:18:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902529,AI2600-20CA017,OPERATIONAL
Canada,2020-08-19T15:49:00,49.7727,-141.6675,2021-04-08T05:47:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902536,AI2600-20CA021,OPERATIONAL
Canada,2020-08-09T17:30:00,51.3146,-134.5018,2021-04-08T05:48:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902537,AI2600-20CA022,OPERATIONAL
Canada,2020-08-14T16:45:00,48.74,-127.6665,2021-04-03T06:01:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902538,AI2600-20CA023,OPERATIONAL
Canada,2020-08-10T19:08:00,52.4383,-140.1371,2021-03-30T06:03:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902539,AI2600-20CA024,OPERATIONAL
Canada,2021-02-08T23:22:00,49.8403,-142.6723,2021-04-01T05:50:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902540,AI2600-20CA025,OPERATIONAL
Canada,2020-08-17T18:09:00,49.342,-135.6698,2021-04-06T06:03:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902541,AI2600-20CA026,OPERATIONAL
Canada,2020-08-12T00:55:00,53.6563,-149.2274,2021-04-01T05:49:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902542,AI2600-20CA027,OPERATIONAL
Canada,2021-02-08T12:41:00,49.6993,-140.6642,2021-04-01T05:55:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902543,AI2600-20CA028,OPERATIONAL
Canada,2020-08-16T17:11:00,49.119,-132.673,2021-04-05T05:32:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902544,AI2600-20CA029,OPERATIONAL
Canada,2020-08-12T12:43:00,53.9262,-152.9685,2021-04-01T05:36:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902545,AI2600-20CA030,OPERATIONAL
Canada,2020-08-11T07:00:00,52.9942,-143.4879,2021-03-31T05:45:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902546,AI2600-20CA031,OPERATIONAL
Canada,2020-08-15T13:57:00,48.9312,-130.1713,2021-04-04T05:57:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902547,AI2600-20CA032,OPERATIONAL
