COUNTRY,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,IMEI,LAST LOCATION DATE,MODEL,NETWORKS,PROGRAM,REF,SENSOR MODELS,SERIAL NUMBER,STATUS
Canada,2019-08-19T10:06:00,49.2832,-134.6663,300234066515600,2021-03-13T05:41:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902472,SBE41CP,AI2600-19CA001,OPERATIONAL
Canada,2019-08-21T04:56:00,49.6365,-139.6615,300234066518600,2021-03-15T05:30:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902474,SBE41CP,AI2600-19CA003,OPERATIONAL
Canada,2019-06-19T02:31:00,59.5099,-53.0656,300234067018740,2021-03-12T05:12:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902477,SBE41CP,AI2600-19CA006,OPERATIONAL
Canada,2019-06-14T17:11:00,58.6214,-50.4223,300234066617010,2021-03-17T05:03:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902478,SBE41CP,AI2600-19CA007,OPERATIONAL
Canada,2019-06-19T08:20:00,59.0057,-53.156,300234066516680,2021-03-12T05:18:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902479,SBE41CP,AI2600-19CA008,OPERATIONAL
Canada,2019-06-12T10:22:00,56.5473,-52.6928,300234066511690,2021-03-15T05:23:00,ARVOR,"Argo, Argo BioGeoChemical, Argo Dissolved Oxygen, Argo Global, Argo T/S/O only, AtlantOS",Argo CANADA,4902481,"AANDERAA_OPTODE_4330, SBE41CP",AI2632-19CA010,OPERATIONAL
Canada,2019-06-12T17:15:00,56.9795,-52.2464,300234067579730,2021-03-15T04:31:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902487,SBE41CP,AI2600-19CA016,OPERATIONAL
Canada,2019-06-19T00:00:00,58.0101,-53.3472,300234067575740,2021-03-12T04:23:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902488,SBE41CP,AI2600-19CA017,OPERATIONAL
Canada,2019-06-18T19:29:00,60.0046,-52.3494,300234067204300,2021-03-11T04:27:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902471,SBE41CP,AI2600-18CA015,OPERATIONAL
Canada,2019-08-20T22:16:00,49.5669,-138.674,300234067672100,2021-03-14T05:03:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902482,SBE41CP,AI2600-19CA011,OPERATIONAL
Canada,2019-08-17T23:38:00,48.9697,-130.7625,300234067671120,2021-03-11T05:03:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902483,SBE41CP,AI2600-19CA012,OPERATIONAL
Canada,2019-07-07T01:50:00,53.4278,-147.497,300234067670120,2021-03-11T04:54:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902484,SBE41CP,AI2600-19CA013,OPERATIONAL
Canada,2019-08-21T22:05:00,49.763,-141.6689,300234067209290,2021-03-15T05:05:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902485,SBE41CP,AI2600-19CA014,OPERATIONAL
Canada,2019-07-05T00:20:00,51.1333,-134.1533,300234067576730,2021-03-09T05:10:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902490,SBE41CP,AI2600-19CA019,OPERATIONAL
Canada,2019-07-06T16:48:00,51.9938,-138.0797,300234067574730,2021-03-09T05:09:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902491,SBE41CP,AI2600-19CA020,OPERATIONAL
Canada,2019-08-17T08:04:00,48.8938,-129.6662,300234067572720,2021-03-11T04:55:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902492,SBE41CP,AI2600-19CA021,OPERATIONAL
Canada,2019-07-08T15:45:00,53.8063,-151.663,300234067571740,2021-03-12T05:01:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902493,SBE41CP,AI2600-19CA022,OPERATIONAL
Canada,2019-07-07T16:42:00,53.1038,-144.8598,300234010465530,2021-03-10T04:58:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902494,SBE41CP,AI2600-19CA023,OPERATIONAL
Canada,2019-09-15T21:56:00,56.2792,-50.2817,300234067574740,2021-03-10T04:56:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902489,SBE41CP,AI2600-19CA018,OPERATIONAL
Canada,2019-09-15T17:09:00,57.1735,-49.523,300234067570740,2021-03-10T04:28:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902495,SBE41CP,AI2600-19CA024,OPERATIONAL
Canada,2019-11-28T01:02:00,47.0005,-42.999,300234067575770,2021-03-14T04:14:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902496,SBE41CP,AI2600-19CA025,OPERATIONAL
Canada,2019-11-28T01:06:00,47.0003,-42.9992,300234067577760,2021-03-14T03:59:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902497,SBE41CP,AI2600-19CA026,OPERATIONAL
Canada,2019-11-26T05:55:00,42.012,-49.2682,300234067579720,2021-03-16T04:39:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902498,SBE41CP,AI2600-19CA027,OPERATIONAL
Canada,2019-11-26T05:58:00,42.0818,-49.2687,300234067574720,2021-03-16T04:23:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902499,SBE41CP,AI2600-19CA028,OPERATIONAL
Canada,2020-10-11T02:13:00,43.0202,-59.1096,300234067675120,2021-03-12T04:34:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902500,SBE41CP,AI2600-19CA029,OPERATIONAL
Canada,2020-10-10T19:43:00,42.5683,-60.6801,300234067675250,2021-03-11T04:27:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902501,SBE41CP,AI2600-19CA030,OPERATIONAL
Canada,2020-10-11T12:59:00,43.4682,-57.4924,300234067676110,2021-03-12T05:10:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902502,SBE41CP,AI2600-19CA031,OPERATIONAL
Canada,2020-10-11T05:21:00,43.2156,-58.3093,300534060900640,2021-03-12T04:52:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902503,SBE41CP,AI2600-19CA032,OPERATIONAL
